Bereich;Leistung;BS;BSP;Besonders relevant für;Was bedeutet das?
Allgemein;Deckungssumme (Personen-, Sach-, Vermögensschäden);3, 5 oder 10 Mio. EUR pauschal (maximal 2-fach je VJ);3, 5 oder 10 Mio. EUR pauschal (maximal 2-fach je VJ);Alle;Wie viel die Versicherung maximal pro Schadenfall und pro Jahr zahlt
Allgemein;Maximierung pro Versicherungsjahr;2-fach;2-fach;Alle;Die Deckungssumme steht 2x pro Versicherungsjahr zur Verfügung
Allgemein;Regressverzicht;--;2.000 EUR;Alle;Verursacht ein Mitarbeiter einen Schaden wird das Geld nicht von ihm zurückgefordert
Allgemein;Grob fahrlässige Obliegenheitsverletzung;--;bis 100.000 EUR Verzicht, darüber bis 1 Mio. EUR max. 20 % Kürzung;Alle;Bsp.: Alarmanlage nicht aktiviert - Versicherung kürzt trotzdem nicht oder nur wenig
Allgemein;Besitzstandsgarantie;--;250.000 EUR, max. 3 Jahre;Alle;Waren Sie vorher besser versichert gelten die besseren Bedingungen weiter
Allgemein;Bedingungsgarantie GdV;--;bis 250.000 EUR;Alle;Mindeststandard des Gesamtverbands der Versicherungswirtschaft ist garantiert
Allgemein;Bedingungs-Update-Garantie;--;inkl.;Alle;Werden die Bedingungen verbessert profitieren Sie automatisch davon
Allgemein;Summen- und Konditionsdifferenzdeckung;--;inkl.;Alle;Automatische Anpassung auf bessere Konditionen bei Versicherungswechsel
Allgemein;Öffentlich-rechtliche Haftpflichtansprüche;--;inkl.;Alle;Auch Ansprüche aus öffentlichem Recht sind mitversichert z.B. behördliche Auflagen
Allgemein;Nachthaftung;bis 5 Jahre;bis 5 Jahre;Alle;Nach endgültiger Betriebseinstellung besteht weiterhin Versicherungsschutz für Altschäden
Allgemein;Forderungsmanagement;ARAG Online Forderungsmanagement;ARAG Online Forderungsmanagement Plus;Alle;Hilfe beim Eintreiben offener Rechnungen über das ARAG Online-Portal
Allgemein;JuraTel;--;inkl.;Alle;Telefonische Rechtsberatung bei geschäftlichen Rechtsfragen durch die ARAG
Allgemein;Kostenübernahme Strafverfahren;inkl.;inkl.;Alle;Kosten für Strafverfahren im Zusammenhang mit versicherten Schäden werden übernommen
Allgemein;Vollständigkeit Betriebsbeschreibung;--;inkl.;Alle;Versicherungsschutz auch wenn die Betriebsbeschreibung bei Antragstellung unvollständig war
Allgemein;Versichertlich nicht gemeldete Risiken;inkl.;inkl.;Alle;Auch Risiken die bei Vertragsabschluss vergessen wurden sind mitversichert
Betriebshaftpflicht;Haus- und Grundbesitzerhaftpflicht;bis 50.000 EUR SJM;bis 100.000 EUR SJM;Alle;Haftpflicht aus der Nutzung der gemieteten Geschäftsräume inkl. Garagen und Parkplätze
Betriebshaftpflicht;Teilnahme an Ausstellungen und Messen;inkl.;inkl.;Alle;Bsp.: Auf einer Messe beschädigen Sie versehentlich den Stand des Nachbarn
Betriebshaftpflicht;Betriebliche Veranstaltungen;inkl.;inkl.;Alle;Bsp.: Bei einer Firmenfeier wird ein Gast durch herabfallende Dekoration verletzt
Betriebshaftpflicht;Handel und Vertrieb im Internet;inkl.;inkl.;E-Zigarettenhandel / Optiker;Online-Verkauf von Produkten ist in der Haftpflicht mitversichert
Betriebshaftpflicht;Beauftragung fremder Unternehmen;inkl.;inkl.;Alle;Bsp.: Sie beauftragen einen Handwerker für Umbauarbeiten und er verursacht einen Schaden
Betriebshaftpflicht;Ansprüche gesetzlicher Vertreter des VN;inkl.;inkl.;Alle;Auch der Geschäftsführer kann Ansprüche gegen das Unternehmen geltend machen
Betriebshaftpflicht;Ansprüche mitversicherter Personen untereinander;inkl.;inkl.;Alle;Mitarbeiter können untereinander Haftpflichtansprüche geltend machen
Betriebshaftpflicht;Abhandenkommen Sachen Betriebsangehörige und Besucher;1.000.000 EUR (einschl. KFZ und Fahrräder mit Zubehör);1.000.000 EUR (einschl. KFZ und Fahrräder mit Zubehör);Friseur / Nagelstudio / Akustiker / Optiker;Bsp.: Dem Kunden wird während der Behandlung das Handy aus der Jacke gestohlen
Betriebshaftpflicht;Abhandenkommen fremder Schlüssel;inkl. (SB 250 EUR), inkl. 14 Tage Objektschutz;inkl. (SB 250 EUR), inkl. 14 Tage Objektschutz;Alle;Bsp.: Sie verlieren den Schlüssel eines Kunden - Schlosswechsel und Objektschutz sind gedeckt
Betriebshaftpflicht;Folgekosten Schlüssel, Codekarten, Transponder;--;50.000 EUR (SB 250 EUR);Alle;Bsp.: Nach Schlüsselverlust muss die gesamte Schließanlage ausgetauscht werden
Betriebshaftpflicht;Auslandshaftpflicht (indirekter Export);inkl.;inkl.;E-Zigarettenhandel / Optiker / Akustiker;Haftpflicht wenn exportierte Produkte im Ausland Schäden verursachen
Betriebshaftpflicht;Auslandshaftpflicht (direkter Export EWR);inkl.;inkl.;E-Zigarettenhandel / Optiker / Akustiker;Direkter Export in den europäischen Wirtschaftsraum und die Schweiz ist mitversichert
Mietsachschäden;Mietsachschäden Dienst- und Geschäftsreisen;inkl.;inkl.;Alle;Bsp.: Auf einer Geschäftsreise beschädigen Sie versehentlich das Hotelzimmer
Mietsachschäden;Mietsachschäden durch Leitungswasser;1.000.000 EUR;3.000.000 EUR;Alle;Bsp.: Ein Rohrbruch in Ihrem Geschäft beschädigt das gemietete Gebäude
Mietsachschäden;Mietsachschäden sonstige Ursachen;100.000 EUR (SB 250 EUR);250.000 EUR (SB 250 EUR);Alle;Bsp.: Durch einen Unfall beschädigen Sie Wände oder Böden Ihrer gemieteten Geschäftsräume
Tätigkeitsschäden;Tätigkeitsschäden allgemein;inkl.;inkl.;Alle;Schäden die Sie bei der Ausübung Ihrer Tätigkeit an fremden Sachen verursachen
Tätigkeitsschäden;Schäden an fremden Sachen (gewerbliche Tätigkeit);inkl. (SB 250 EUR);inkl. (SB 250 EUR);Handyreparatur / Akustiker / Optiker;Bsp.: Bei der Reparatur eines Kundenhandys wird das Display zerkratzt
Tätigkeitsschäden;Erweiterte Tätigkeitsschäden;10.000 EUR (SB 10 % min. 250 EUR);50.000 EUR (SB 10 % min. 250 EUR);Handyreparatur / Akustiker / Optiker;Erweiterte Deckung wenn bei der Bearbeitung eines Kundengegenstands ein Schaden entsteht
Tätigkeitsschäden;Mängelbeseitigungsnebenkosten;inkl.;inkl.;Alle;Bsp.: Neben der Reparatur fallen auch Anfahrtskosten und Materialkosten für die Nachbesserung an
Tätigkeitsschäden;Nachbesserungsbegleitschäden;50.000 EUR (SB 1.000 EUR);100.000 EUR (SB 250 EUR);Handyreparatur / Akustiker / Optiker;Bsp.: Bei der Nachbesserung eines Mangels beschädigen Sie versehentlich etwas anderes
Tätigkeitsschäden;Obhutsschäden Verwaltungsvertrag;50.000 EUR (SB 250 EUR);50.000 EUR (SB 250 EUR);Handyreparatur / Optiker / Akustiker;Bsp.: Ein Kundengerät das Sie zur Reparatur aufbewahren wird beschädigt oder gestohlen
Tätigkeitsschäden;Strahlenschäden;inkl.;inkl.;Nagelstudio / Friseur;Schäden durch Strahlung z.B. bei UV-Lampen im Nagelstudio oder Lasergeräten
Cyber / Daten;Schäden aus elektronischem Datenaustausch;1.000.000 EUR (1-fach maximiert je VJ);1.000.000 EUR (1-fach maximiert je VJ);Alle;Bsp.: Sie versenden versehentlich eine E-Mail mit einem Virus der Kundendaten beschädigt
Cyber / Daten;Verletzung von Persönlichkeitsrechten;inkl.;inkl.;Alle;Bsp.: Kundendaten werden durch einen Fehler veröffentlicht
Cyber / Daten;Verletzung von Namensrechten;100.000 EUR;100.000 EUR;Alle;Bsp.: Sie verwenden versehentlich einen geschützten Markennamen in Ihrer Werbung
Cyber / Daten;Vermögensschäden Datenschutz;inkl.;inkl.;Alle;Haftpflicht bei Verstößen gegen die DSGVO und andere Datenschutzgesetze
Vermögensschäden;Vermögensschäden aus Arbeiten und Leistungen;100.000 EUR;100.000 EUR;Handyreparatur / Optiker / Akustiker;Reine Vermögensschäden ohne vorherigen Personen- oder Sachschaden aus fehlerhafter Arbeit
Vermögensschäden;Aktive Werklohnklage;100.000 EUR (ab 1.000 EUR Streitwert);100.000 EUR (ab 1.000 EUR Streitwert);Handyreparatur / Akustiker / Optiker;Bsp.: Kunde verweigert Zahlung wegen angeblichem Mangel - die Versicherung unterstützt bei der Klage
Vermögensschäden;Ansprüche aus Beanstandlungen;inkl. (SB 250 EUR);inkl. (SB 250 EUR);Alle;Haftpflicht bei berechtigten Kundenreklamationen an Ihren Produkten oder Leistungen
